#### Nbr journees max, nbr equipes, nbr matchs
38, 159, 58715
#### Equipe 1, Equipe 2, Score 1, Score 2, Annee, journee, ID team 1, ID team 2
EAGuingamp,OlympiquedeMarseille,2,0,2016,4,45,94
ESTACTroyes,MontpellierHéraultSC,0,0,2016,4,49,88
EvianTGFC,ChamoisNiortais,0,0,2016,4,51,31
FCSochaux-Montbéliard,ParisFC,1,1,2016,4,69,99
GirondinsdeBordeaux,FCNantes,2,0,2016,4,74,65
HavreAC,ClermontFoot,0,1,2016,4,77,34
LOSC,GazélecFCAjaccio,1,0,2016,4,84,72
NîmesOlympique,ASNancyLorraine,2,2,2016,4,90,21
SMCaen,OlympiqueLyonnais,0,4,2016,4,123,96
StadeBrestois29,ACAjaccio,1,0,2016,4,131,2
StadedeReims,FCLorient,4,1,2016,4,134,59
StadeLavallois,RedStarFC,2,1,2016,4,136,112
StadeRennaisFC,ToulouseFC,3,1,2016,4,138,140
ToursFC,AJAuxerre,3,1,2016,4,141,6
USCréteil-Lusitanos,FCMetz,1,2,2016,4,147,61
ValenciennesFC,FBBP01,1,1,2016,4,155,53
AngersSCO,ToulouseFC,2,3,2016,38,9,140
ASMonaco,MontpellierHéraultSC,2,0,2016,38,20,88
ASSaint-Etienne,LOSC,0,1,2016,38,24,84
DijonFCO,ACAjaccio,2,0,2016,38,43,2
EAGuingamp,OGCNice,2,3,2016,38,45,91
ESTACTroyes,OlympiquedeMarseille,1,1,2016,38,49,94
EvianTGFC,NîmesOlympique,4,1,2016,38,51,90
FCLorient,GazélecFCAjaccio,1,0,2016,38,59,72
FCSochaux-Montbéliard,ClermontFoot,2,0,2016,38,69,34
HavreAC,FBBP01,5,0,2016,38,77,53
ParisSaint-Germain,FCNantes,4,0,2016,38,101,65
RCLens,FCMetz,1,0,2016,38,106,61
SMCaen,GirondinsdeBordeaux,1,0,2016,38,123,74
StadeBrestois29,AJAuxerre,0,0,2016,38,131,6
StadedeReims,OlympiqueLyonnais,4,1,2016,38,134,96
StadeLavallois,ParisFC,3,1,2016,38,136,99
StadeRennaisFC,SCBastia,1,2,2016,38,138,118
ToursFC,ASNancyLorraine,2,5,2016,38,141,21
USCréteil-Lusitanos,RedStarFC,2,4,2016,38,147,112
ValenciennesFC,ChamoisNiortais,3,3,2016,38,155,31
ACAjaccio,FCSochaux-Montbéliard,0,2,2016,37,2,69
AJAuxerre,HavreAC,1,3,2016,37,6,77
ASNancyLorraine,EvianTGFC,1,0,2016,37,21,51
ChamoisNiortais,USCréteil-Lusitanos,4,2,2016,37,31,147
ClermontFoot,StadeBrestois29,2,0,2016,37,34,131
FBBP01,RCLens,2,1,2016,37,53,106
FCMetz,ToursFC,2,1,2016,37,61,141
FCNantes,SMCaen,1,2,2016,37,65,123
GazélecFCAjaccio,ParisSaint-Germain,0,4,2016,37,72,101
GirondinsdeBordeaux,FCLorient,3,0,2016,37,74,59
LOSC,EAGuingamp,0,0,2016,37,84,45
MontpellierHéraultSC,StadeRennaisFC,2,0,2016,37,88,138
NîmesOlympique,StadeLavallois,1,1,2016,37,90,136
OGCNice,ASSaint-Etienne,2,0,2016,37,91,24
OlympiquedeMarseille,StadedeReims,1,0,2016,37,94,134
OlympiqueLyonnais,ASMonaco,6,1,2016,37,96,20
ParisFC,ValenciennesFC,1,4,2016,37,99,155
RedStarFC,DijonFCO,3,2,2016,37,112,43
SCBastia,AngersSCO,1,0,2016,37,118,9
ToulouseFC,ESTACTroyes,1,0,2016,37,140,49
AngersSCO,OlympiquedeMarseille,0,1,2016,36,9,94
ASMonaco,EAGuingamp,3,2,2016,36,20,45
ASSaint-Etienne,ToulouseFC,0,0,2016,36,24,140
DijonFCO,FCMetz,0,4,2016,36,43,61
ESTACTroyes,GirondinsdeBordeaux,2,4,2016,36,49,74
FCLorient,LOSC,0,1,2016,36,59,84
FCNantes,OGCNice,1,0,2016,36,65,91
FCSochaux-Montbéliard,AJAuxerre,2,3,2016,36,69,6
HavreAC,NîmesOlympique,3,1,2016,36,77,90
OlympiqueLyonnais,GazélecFCAjaccio,2,1,2016,36,96,72
ParisSaint-Germain,StadeRennaisFC,4,0,2016,36,101,138
RCLens,ParisFC,0,1,2016,36,106,99
RedStarFC,FBBP01,1,0,2016,36,112,53
SMCaen,SCBastia,0,0,2016,36,123,118
StadeBrestois29,EvianTGFC,0,2,2016,36,131,51
StadedeReims,MontpellierHéraultSC,2,3,2016,36,134,88
StadeLavallois,ClermontFoot,1,1,2016,36,136,34
ToursFC,ChamoisNiortais,1,2,2016,36,141,31
USCréteil-Lusitanos,ACAjaccio,2,2,2016,36,147,2
ValenciennesFC,ASNancyLorraine,1,0,2016,36,155,21
ACAjaccio,ValenciennesFC,1,1,2016,35,2,155
AJAuxerre,DijonFCO,2,0,2016,35,6,43
ASNancyLorraine,FCSochaux-Montbéliard,1,0,2016,35,21,69
ASSaint-Etienne,FCLorient,2,0,2016,35,24,59
ChamoisNiortais,FBBP01,0,0,2016,35,31,53
ClermontFoot,ToursFC,0,1,2016,35,34,141
EAGuingamp,SMCaen,1,1,2016,35,45,123
EvianTGFC,HavreAC,1,1,2016,35,51,77
FCMetz,RedStarFC,2,0,2016,35,61,112
GazélecFCAjaccio,SCBastia,3,2,2016,35,72,118
GirondinsdeBordeaux,ParisSaint-Germain,1,1,2016,35,74,101
LOSC,AngersSCO,0,0,2016,35,84,9
MontpellierHéraultSC,ESTACTroyes,4,1,2016,35,88,49
NîmesOlympique,RCLens,4,2,2016,35,90,106
OGCNice,StadedeReims,2,0,2016,35,91,134
OlympiquedeMarseille,FCNantes,1,1,2016,35,94,65
ParisFC,USCréteil-Lusitanos,2,2,2016,35,99,147
StadeBrestois29,StadeLavallois,0,0,2016,35,131,136
StadeRennaisFC,ASMonaco,1,1,2016,35,138,20
ToulouseFC,OlympiqueLyonnais,2,3,2016,35,140,96
ASMonaco,OlympiquedeMarseille,2,1,2016,34,20,94
DijonFCO,ParisFC,3,0,2016,34,43,99
ESTACTroyes,StadedeReims,2,1,2016,34,49,134
FBBP01,FCMetz,0,3,2016,34,53,61
FCLorient,ToulouseFC,1,1,2016,34,59,140
FCNantes,MontpellierHéraultSC,0,2,2016,34,65,88
FCSochaux-Montbéliard,StadeBrestois29,2,1,2016,34,69,131
GazélecFCAjaccio,LOSC,2,4,2016,34,72,84
GirondinsdeBordeaux,AngersSCO,1,3,2016,34,74,9
HavreAC,ASNancyLorraine,1,3,2016,34,77,21
OlympiqueLyonnais,OGCNice,1,1,2016,34,96,91
ParisSaint-Germain,SMCaen,6,0,2016,34,101,123
RCLens,ACAjaccio,2,0,2016,34,106,2
RedStarFC,ChamoisNiortais,0,2,2016,34,112,31
SCBastia,ASSaint-Etienne,0,1,2016,34,118,24
StadeLavallois,EvianTGFC,2,1,2016,34,136,51
StadeRennaisFC,EAGuingamp,0,3,2016,34,138,45
ToursFC,NîmesOlympique,1,2,2016,34,141,90
USCréteil-Lusitanos,AJAuxerre,1,0,2016,34,147,6
ValenciennesFC,ClermontFoot,1,2,2016,34,155,34
ACAjaccio,RedStarFC,1,2,2016,33,2,112
AJAuxerre,FCMetz,4,0,2016,33,6,61
AngersSCO,GazélecFCAjaccio,0,0,2016,33,9,72
ASNancyLorraine,USCréteil-Lusitanos,1,0,2016,33,21,147
ASSaint-Etienne,ESTACTroyes,1,0,2016,33,24,49
ChamoisNiortais,RCLens,0,1,2016,33,31,106
ClermontFoot,DijonFCO,2,3,2016,33,34,43
EAGuingamp,ParisSaint-Germain,0,2,2016,33,45,101
EvianTGFC,ToursFC,0,0,2016,33,51,141
LOSC,ASMonaco,4,1,2016,33,84,20
MontpellierHéraultSC,OlympiqueLyonnais,0,2,2016,33,88,96
NîmesOlympique,ValenciennesFC,2,0,2016,33,90,155
OGCNice,StadeRennaisFC,3,0,2016,33,91,138
OlympiquedeMarseille,GirondinsdeBordeaux,0,0,2016,33,94,74
ParisFC,FBBP01,2,0,2016,33,99,53
SMCaen,FCLorient,1,2,2016,33,123,59
StadeBrestois29,HavreAC,0,0,2016,33,131,77
StadedeReims,FCNantes,2,1,2016,33,134,65
StadeLavallois,FCSochaux-Montbéliard,1,2,2016,33,136,69
ToulouseFC,SCBastia,4,0,2016,33,140,118
ASMonaco,GirondinsdeBordeaux,1,2,2016,32,20,74
DijonFCO,ASNancyLorraine,0,0,2016,32,43,21
EAGuingamp,MontpellierHéraultSC,2,2,2016,32,45,88
ESTACTroyes,AngersSCO,0,1,2016,32,49,9
FBBP01,ACAjaccio,3,0,2016,32,53,2
FCLorient,OlympiqueLyonnais,1,3,2016,32,59,96
FCMetz,ChamoisNiortais,2,0,2016,32,61,31
FCNantes,LOSC,0,3,2016,32,65,84
