#### Nbr journees max, nbr equipes, nbr matchs
38, 159, 58715
#### Equipe 1, Equipe 2, Score 1, Score 2, Annee, journee, ID team 1, ID team 2
LeMansFC,FCMartigues,1,0,2002,6,80,60
LOSC,EAGuingamp,1,0,2002,6,84,45
NîmesOlympique,FCIstres,0,0,2002,6,90,57
OlympiquedeMarseille,OlympiqueLyonnais,0,0,2002,6,94,96
ParisSaint-Germain,RCLens,2,2,2002,6,101,106
SMCaen,AmiensSC,2,4,2002,6,123,8
StadeRennaisFC,FCLorient,1,1,2002,6,138,59
USCréteil-Lusitanos,FCGueugnon,3,1,2002,6,147,56
ACAjaccio,LeMansFC,1,0,2002,5,2,80
AmiensSC,USCréteil-Lusitanos,2,1,2002,5,8,147
CSSedan,FCMetz,2,0,2002,5,40,61
EAGuingamp,FCNantes,1,0,2002,5,45,65
ESTACTroyes,OlympiqueLyonnais,0,2,2002,5,49,96
ESWasquehal,ASSaint-Etienne,1,1,2002,5,50,24
FCGueugnon,SMCaen,2,2,2002,5,56,123
FCIstres,ASBeauvais,0,2,2002,5,57,13
FCLorient,ASMonaco,2,0,2002,5,59,20
FCMartigues,ASNancyLorraine,0,0,2002,5,60,21
GirondinsdeBordeaux,AJAuxerre,1,1,2002,5,74,6
HavreAC,GF38,4,0,2002,5,77,73
MontpellierHéraultSC,FCSochaux-Montbéliard,0,0,2002,5,88,69
OGCNice,ChamoisNiortais,3,1,2002,5,91,31
ParisSaint-Germain,StadeRennaisFC,3,0,2002,5,101,138
RCLens,LOSC,1,1,2002,5,106,84
RCStrasbourg,Châteauroux,2,0,2002,5,111,32
SCBastia,OlympiquedeMarseille,1,0,2002,5,118,94
StadeLavallois,NîmesOlympique,1,0,2002,5,136,90
AJAuxerre,CSSedan,2,1,2002,4,6,40
ASBeauvais,OGCNice,1,0,2002,4,13,91
ASMonaco,ParisSaint-Germain,2,2,2002,4,20,101
ASNancyLorraine,FCGueugnon,0,1,2002,4,21,56
ChamoisNiortais,FCIstres,2,0,2002,4,31,57
Châteauroux,AmiensSC,2,0,2002,4,32,8
FCMetz,RCLens,0,1,2002,4,61,106
FCNantes,SCBastia,1,2,2002,4,65,118
FCSochaux-Montbéliard,FCLorient,2,2,2002,4,69,59
GF38,ASSaint-Etienne,1,0,2002,4,73,24
LeMansFC,ESWasquehal,2,2,2002,4,80,50
LOSC,MontpellierHéraultSC,2,1,2002,4,84,88
NîmesOlympique,HavreAC,0,0,2002,4,90,77
OlympiquedeMarseille,ESTACTroyes,0,1,2002,4,94,49
OlympiqueLyonnais,EAGuingamp,3,0,2002,4,96,45
RCStrasbourg,StadeLavallois,4,1,2002,4,111,136
SMCaen,FCMartigues,1,0,2002,4,123,60
StadeRennaisFC,GirondinsdeBordeaux,1,0,2002,4,138,74
USCréteil-Lusitanos,ACAjaccio,0,2,2002,4,147,2
ASBeauvais,AmiensSC,1,1,2002,38,13,8
ASNancyLorraine,ACAjaccio,1,0,2002,38,21,2
ChamoisNiortais,FCMartigues,2,1,2002,38,31,60
Châteauroux,ESWasquehal,3,2,2002,38,32,50
FCIstres,ASSaint-Etienne,1,0,2002,38,57,24
NîmesOlympique,FCGueugnon,3,1,2002,38,90,56
RCStrasbourg,HavreAC,1,0,2002,38,111,77
SMCaen,GF38,3,2,2002,38,123,73
StadeLavallois,OGCNice,3,4,2002,38,136,91
USCréteil-Lusitanos,LeMansFC,1,0,2002,38,147,80
ACAjaccio,ASBeauvais,1,0,2002,37,2,13
AmiensSC,NîmesOlympique,2,1,2002,37,8,90
ASSaint-Etienne,Châteauroux,1,0,2002,37,24,32
ESWasquehal,ASNancyLorraine,0,3,2002,37,50,21
FCGueugnon,ChamoisNiortais,1,2,2002,37,56,31
FCMartigues,RCStrasbourg,0,1,2002,37,60,111
GF38,USCréteil-Lusitanos,1,2,2002,37,73,147
HavreAC,StadeLavallois,4,1,2002,37,77,136
LeMansFC,SMCaen,1,2,2002,37,80,123
OGCNice,FCIstres,3,0,2002,37,91,57
ASBeauvais,ESWasquehal,0,0,2002,36,13,50
ASNancyLorraine,ASSaint-Etienne,0,3,2002,36,21,24
ChamoisNiortais,AmiensSC,2,2,2002,36,31,8
Châteauroux,LeMansFC,0,2,2002,36,32,80
FCIstres,HavreAC,1,3,2002,36,57,77
NîmesOlympique,ACAjaccio,0,1,2002,36,90,2
OGCNice,FCMartigues,1,0,2002,36,91,60
RCStrasbourg,FCGueugnon,0,0,2002,36,111,56
SMCaen,USCréteil-Lusitanos,3,0,2002,36,123,147
StadeLavallois,GF38,1,2,2002,36,136,73
ACAjaccio,ChamoisNiortais,1,0,2002,35,2,31
AmiensSC,RCStrasbourg,0,2,2002,35,8,111
ASSaint-Etienne,SMCaen,0,1,2002,35,24,123
ESWasquehal,NîmesOlympique,3,4,2002,35,50,90
FCGueugnon,StadeLavallois,3,4,2002,35,56,136
FCMartigues,FCIstres,1,1,2002,35,60,57
GF38,Châteauroux,0,2,2002,35,73,32
HavreAC,OGCNice,1,1,2002,35,77,91
LeMansFC,ASNancyLorraine,1,0,2002,35,80,21
USCréteil-Lusitanos,ASBeauvais,1,0,2002,35,147,13
AJAuxerre,StadeRennaisFC,2,3,2002,34,6,138
ASBeauvais,LeMansFC,1,1,2002,34,13,80
ASNancyLorraine,USCréteil-Lusitanos,0,0,2002,34,21,147
ChamoisNiortais,ESWasquehal,1,0,2002,34,31,50
Châteauroux,SMCaen,0,2,2002,34,32,123
CSSedan,SCBastia,0,2,2002,34,40,118
EAGuingamp,ESTACTroyes,1,0,2002,34,45,49
FCIstres,FCGueugnon,2,0,2002,34,57,56
FCMetz,FCLorient,1,1,2002,34,61,59
FCNantes,GirondinsdeBordeaux,2,1,2002,34,65,74
FCSochaux-Montbéliard,ASMonaco,3,0,2002,34,69,20
HavreAC,ACAjaccio,0,1,2002,34,77,2
LOSC,ParisSaint-Germain,1,0,2002,34,84,101
NîmesOlympique,ASSaint-Etienne,0,0,2002,34,90,24
OGCNice,AmiensSC,3,0,2002,34,91,8
OlympiquedeMarseille,MontpellierHéraultSC,1,0,2002,34,94,88
OlympiqueLyonnais,RCLens,3,1,2002,34,96,106
RCStrasbourg,GF38,1,1,2002,34,111,73
StadeLavallois,FCMartigues,2,1,2002,34,136,60
ACAjaccio,StadeLavallois,2,0,2002,33,2,136
AmiensSC,FCIstres,1,2,2002,33,8,57
ASMonaco,AJAuxerre,1,1,2002,33,20,6
ASSaint-Etienne,ChamoisNiortais,1,0,2002,33,24,31
ESTACTroyes,SCBastia,3,0,2002,33,49,118
ESWasquehal,RCStrasbourg,1,1,2002,33,50,111
FCGueugnon,OGCNice,2,0,2002,33,56,91
FCLorient,OlympiquedeMarseille,2,2,2002,33,59,94
FCMartigues,HavreAC,1,3,2002,33,60,77
FCSochaux-Montbéliard,LOSC,0,0,2002,33,69,84
GF38,ASNancyLorraine,2,3,2002,33,73,21
GirondinsdeBordeaux,OlympiqueLyonnais,0,1,2002,33,74,96
LeMansFC,NîmesOlympique,1,0,2002,33,80,90
MontpellierHéraultSC,FCNantes,3,0,2002,33,88,65
ParisSaint-Germain,FCMetz,2,0,2002,33,101,61
RCLens,EAGuingamp,4,1,2002,33,106,45
SMCaen,ASBeauvais,3,2,2002,33,123,13
StadeRennaisFC,CSSedan,1,0,2002,33,138,40
USCréteil-Lusitanos,Châteauroux,2,2,2002,33,147,32
AJAuxerre,FCSochaux-Montbéliard,2,0,2002,32,6,69
ASBeauvais,Châteauroux,1,1,2002,32,13,32
ASNancyLorraine,SMCaen,3,3,2002,32,21,123
ChamoisNiortais,LeMansFC,1,0,2002,32,31,80
CSSedan,ESTACTroyes,0,0,2002,32,40,49
EAGuingamp,GirondinsdeBordeaux,2,1,2002,32,45,74
FCIstres,USCréteil-Lusitanos,0,0,2002,32,57,147
FCMartigues,ASSaint-Etienne,1,1,2002,32,60,24
FCMetz,StadeRennaisFC,3,1,2002,32,61,138
FCNantes,FCLorient,2,0,2002,32,65,59
HavreAC,FCGueugnon,2,1,2002,32,77,56
LOSC,ASMonaco,1,1,2002,32,84,20
NîmesOlympique,GF38,1,1,2002,32,90,73
OGCNice,ESWasquehal,2,1,2002,32,91,50
OlympiquedeMarseille,ParisSaint-Germain,1,0,2002,32,94,101
OlympiqueLyonnais,MontpellierHéraultSC,0,0,2002,32,96,88
RCStrasbourg,ACAjaccio,0,0,2002,32,111,2
SCBastia,RCLens,3,1,2002,32,118,106
StadeLavallois,AmiensSC,2,2,2002,32,136,8
ACAjaccio,OGCNice,1,1,2002,31,2,91
AJAuxerre,OlympiqueLyonnais,0,1,2002,31,6,96
AmiensSC,HavreAC,2,0,2002,31,8,77
ASMonaco,FCMetz,2,2,2002,31,20,61
ASSaint-Etienne,StadeLavallois,3,1,2002,31,24,136
Châteauroux,ASNancyLorraine,1,1,2002,31,32,21
ESWasquehal,FCIstres,1,0,2002,31,50,57
FCGueugnon,FCMartigues,1,2,2002,31,56,60
FCLorient,CSSedan,1,1,2002,31,59,40
FCSochaux-Montbéliard,OlympiquedeMarseille,3,0,2002,31,69,94
GF38,ASBeauvais,0,0,2002,31,73,13
GirondinsdeBordeaux,SCBastia,2,1,2002,31,74,118
LeMansFC,RCStrasbourg,1,0,2002,31,80,111
MontpellierHéraultSC,EAGuingamp,2,1,2002,31,88,45
ParisSaint-Germain,FCNantes,1,1,2002,31,101,65
RCLens,ESTACTroyes,0,0,2002,31,106,49
SMCaen,NîmesOlympique,1,0,2002,31,123,90
StadeRennaisFC,LOSC,4,0,2002,31,138,84
USCréteil-Lusitanos,ChamoisNiortais,1,3,2002,31,147,31
ASBeauvais,ASNancyLorraine,0,1,2002,30,13,21
ChamoisNiortais,SMCaen,2,0,2002,30,31,123
CSSedan,RCLens,1,1,2002,30,40,106
EAGuingamp,ParisSaint-Germain,0,1,2002,30,45,101
ESTACTroyes,GirondinsdeBordeaux,2,0,2002,30,49,74
FCGueugnon,ACAjaccio,1,2,2002,30,56,2
FCIstres,GF38,1,1,2002,30,57,73
FCMartigues,AmiensSC,1,1,2002,30,60,8
FCMetz,FCSochaux-Montbéliard,2,0,2002,30,61,69
FCNantes,StadeRennaisFC,3,1,2002,30,65,138
HavreAC,ASSaint-Etienne,0,0,2002,30,77,24
LOSC,AJAuxerre,2,3,2002,30,84,6
NîmesOlympique,Châteauroux,0,1,2002,30,90,32
OGCNice,LeMansFC,3,2,2002,30,91,80
OlympiquedeMarseille,ASMonaco,1,1,2002,30,94,20
OlympiqueLyonnais,FCLorient,2,0,2002,30,96,59
RCStrasbourg,USCréteil-Lusitanos,0,2,2002,30,111,147
SCBastia,MontpellierHéraultSC,3,0,2002,30,118,88
StadeLavallois,ESWasquehal,3,0,2002,30,136,50
ACAjaccio,SMCaen,1,1,2002,3,2,123
AmiensSC,GF38,3,0,2002,3,8,73
ASSaint-Etienne,LeMansFC,2,2,2002,3,24,80
CSSedan,EAGuingamp,1,1,2002,3,40,45
ESTACTroyes,FCNantes,0,0,2002,3,49,65
ESWasquehal,USCréteil-Lusitanos,2,1,2002,3,50,147
FCGueugnon,Châteauroux,2,0,2002,3,56,32
FCIstres,RCStrasbourg,0,1,2002,3,57,111
FCLorient,AJAuxerre,0,1,2002,3,59,6
FCMartigues,ASBeauvais,0,2,2002,3,60,13
GirondinsdeBordeaux,LOSC,0,0,2002,3,74,84
HavreAC,ASNancyLorraine,0,0,2002,3,77,21
MontpellierHéraultSC,FCMetz,3,0,2002,3,88,61
OGCNice,NîmesOlympique,2,0,2002,3,91,90
ParisSaint-Germain,FCSochaux-Montbéliard,1,0,2002,3,101,69
RCLens,OlympiquedeMarseille,2,0,2002,3,106,94
SCBastia,OlympiqueLyonnais,1,2,2002,3,118,96
StadeLavallois,ChamoisNiortais,1,3,2002,3,136,31
StadeRennaisFC,ASMonaco,3,0,2002,3,138,20
ACAjaccio,FCMartigues,1,0,2002,29,2,60
AJAuxerre,FCMetz,3,2,2002,29,6,61
AmiensSC,FCGueugnon,0,0,2002,29,8,56
ASMonaco,FCNantes,1,2,2002,29,20,65
ASNancyLorraine,NîmesOlympique,1,1,2002,29,21,90
ASSaint-Etienne,ASBeauvais,1,2,2002,29,24,13
Châteauroux,ChamoisNiortais,2,1,2002,29,32,31
ESWasquehal,HavreAC,2,2,2002,29,50,77
FCLorient,SCBastia,0,0,2002,29,59,118
FCSochaux-Montbéliard,EAGuingamp,1,0,2002,29,69,45
GF38,OGCNice,1,2,2002,29,73,91
GirondinsdeBordeaux,RCLens,2,1,2002,29,74,106
LeMansFC,FCIstres,2,2,2002,29,80,57
LOSC,OlympiqueLyonnais,2,0,2002,29,84,96
MontpellierHéraultSC,CSSedan,0,0,2002,29,88,40
ParisSaint-Germain,ESTACTroyes,3,1,2002,29,101,49
SMCaen,RCStrasbourg,2,1,2002,29,123,111
StadeRennaisFC,OlympiquedeMarseille,2,1,2002,29,138,94
USCréteil-Lusitanos,StadeLavallois,0,0,2002,29,147,136
AmiensSC,ESWasquehal,2,0,2002,28,8,50
ChamoisNiortais,ASNancyLorraine,0,0,2002,28,31,21
CSSedan,GirondinsdeBordeaux,1,0,2002,28,40,74
EAGuingamp,FCLorient,4,3,2002,28,45,59
ESTACTroyes,MontpellierHéraultSC,2,0,2002,28,49,88
FCGueugnon,GF38,1,1,2002,28,56,73
FCIstres,ACAjaccio,2,2,2002,28,57,2
FCMartigues,Châteauroux,1,0,2002,28,60,32
FCMetz,LOSC,0,1,2002,28,61,84
FCNantes,FCSochaux-Montbéliard,0,0,2002,28,65,69
HavreAC,SMCaen,2,1,2002,28,77,123
NîmesOlympique,ASBeauvais,1,1,2002,28,90,13
OGCNice,USCréteil-Lusitanos,2,1,2002,28,91,147
OlympiquedeMarseille,AJAuxerre,3,0,2002,28,94,6
OlympiqueLyonnais,ASMonaco,1,0,2002,28,96,20
RCLens,StadeRennaisFC,2,0,2002,28,106,138
RCStrasbourg,ASSaint-Etienne,1,0,2002,28,111,24
SCBastia,ParisSaint-Germain,0,1,2002,28,118,101
StadeLavallois,LeMansFC,1,2,2002,28,136,80
ACAjaccio,AmiensSC,1,1,2002,27,2,8
AJAuxerre,FCNantes,2,1,2002,27,6,65
ASBeauvais,ChamoisNiortais,0,0,2002,27,13,31
ASMonaco,EAGuingamp,3,1,2002,27,20,45
ASNancyLorraine,RCStrasbourg,2,1,2002,27,21,111
ASSaint-Etienne,OGCNice,0,0,2002,27,24,91
Châteauroux,StadeLavallois,1,2,2002,27,32,136
ESWasquehal,FCGueugnon,3,3,2002,27,50,56
FCLorient,ESTACTroyes,1,0,2002,27,59,49
FCMetz,GirondinsdeBordeaux,1,2,2002,27,61,74
FCSochaux-Montbéliard,OlympiqueLyonnais,2,1,2002,27,69,96
GF38,FCMartigues,3,2,2002,27,73,60
LeMansFC,HavreAC,2,0,2002,27,80,77
LOSC,OlympiquedeMarseille,2,0,2002,27,84,94
MontpellierHéraultSC,RCLens,1,2,2002,27,88,106
ParisSaint-Germain,CSSedan,3,0,2002,27,101,40
SMCaen,FCIstres,1,1,2002,27,123,57
StadeRennaisFC,SCBastia,2,1,2002,27,138,118
USCréteil-Lusitanos,NîmesOlympique,1,1,2002,27,147,90
ACAjaccio,GF38,2,0,2002,26,2,73
AmiensSC,LeMansFC,0,4,2002,26,8,80
ChamoisNiortais,NîmesOlympique,0,0,2002,26,31,90
CSSedan,ASMonaco,0,0,2002,26,40,20
EAGuingamp,StadeRennaisFC,1,1,2002,26,45,138
ESTACTroyes,AJAuxerre,1,2,2002,26,49,6
FCGueugnon,ASSaint-Etienne,1,1,2002,26,56,24
FCIstres,Châteauroux,2,0,2002,26,57,32
FCMartigues,ESWasquehal,0,2,2002,26,60,50
FCNantes,LOSC,0,1,2002,26,65,84
GirondinsdeBordeaux,MontpellierHéraultSC,3,1,2002,26,74,88
HavreAC,USCréteil-Lusitanos,3,1,2002,26,77,147
OGCNice,SMCaen,2,1,2002,26,91,123
OlympiquedeMarseille,FCMetz,1,0,2002,26,94,61
OlympiqueLyonnais,ParisSaint-Germain,3,0,2002,26,96,101
RCLens,FCLorient,1,1,2002,26,106,59
RCStrasbourg,ASBeauvais,1,1,2002,26,111,13
SCBastia,FCSochaux-Montbéliard,3,0,2002,26,118,69
StadeLavallois,ASNancyLorraine,1,0,2002,26,136,21
AJAuxerre,RCLens,1,0,2002,25,6,106
ASBeauvais,HavreAC,1,1,2002,25,13,77
ASMonaco,SCBastia,1,1,2002,25,20,118
ASNancyLorraine,FCIstres,1,1,2002,25,21,57
ASSaint-Etienne,AmiensSC,2,1,2002,25,24,8
Châteauroux,OGCNice,1,0,2002,25,32,91
ESWasquehal,ACAjaccio,1,1,2002,25,50,2
FCLorient,MontpellierHéraultSC,1,0,2002,25,59,88
FCMetz,FCNantes,2,0,2002,25,61,65
FCSochaux-Montbéliard,ESTACTroyes,2,2,2002,25,69,49
GF38,ChamoisNiortais,2,1,2002,25,73,31
LeMansFC,FCGueugnon,2,3,2002,25,80,56
LOSC,CSSedan,1,1,2002,25,84,40
NîmesOlympique,RCStrasbourg,1,3,2002,25,90,111
OlympiquedeMarseille,EAGuingamp,2,1,2002,25,94,45
ParisSaint-Germain,GirondinsdeBordeaux,1,0,2002,25,101,74
SMCaen,StadeLavallois,1,2,2002,25,123,136
StadeRennaisFC,OlympiqueLyonnais,2,2,2002,25,138,96
USCréteil-Lusitanos,FCMartigues,2,1,2002,25,147,60
ACAjaccio,ASSaint-Etienne,1,0,2002,24,2,24
AmiensSC,SMCaen,3,2,2002,24,8,123
CSSedan,FCSochaux-Montbéliard,2,1,2002,24,40,69
EAGuingamp,AJAuxerre,0,0,2002,24,45,6
ESTACTroyes,StadeRennaisFC,1,1,2002,24,49,138
ESWasquehal,GF38,1,0,2002,24,50,73
FCGueugnon,USCréteil-Lusitanos,0,0,2002,24,56,147
FCIstres,NîmesOlympique,0,0,2002,24,57,90
FCMartigues,LeMansFC,2,2,2002,24,60,80
FCNantes,OlympiquedeMarseille,3,1,2002,24,65,94
GirondinsdeBordeaux,FCLorient,2,1,2002,24,74,59
HavreAC,Châteauroux,3,1,2002,24,77,32
MontpellierHéraultSC,ParisSaint-Germain,0,0,2002,24,88,101
OGCNice,ASNancyLorraine,1,0,2002,24,91,21
OlympiqueLyonnais,FCMetz,4,1,2002,24,96,61
RCLens,ASMonaco,1,0,2002,24,106,20
RCStrasbourg,ChamoisNiortais,1,0,2002,24,111,31
SCBastia,LOSC,1,0,2002,24,118,84
StadeLavallois,ASBeauvais,0,1,2002,24,136,13
AJAuxerre,SCBastia,1,0,2002,23,6,118
ASBeauvais,FCIstres,0,0,2002,23,13,57
ASMonaco,GirondinsdeBordeaux,3,1,2002,23,20,74
ASNancyLorraine,FCMartigues,1,1,2002,23,21,60
ASSaint-Etienne,ESWasquehal,0,2,2002,23,24,50
ChamoisNiortais,OGCNice,3,0,2002,23,31,91
Châteauroux,RCStrasbourg,1,2,2002,23,32,111
FCMetz,EAGuingamp,2,4,2002,23,61,45
FCNantes,OlympiqueLyonnais,3,0,2002,23,65,96
FCSochaux-Montbéliard,RCLens,0,2,2002,23,69,106
GF38,HavreAC,1,0,2002,23,73,77
LeMansFC,ACAjaccio,2,1,2002,23,80,2
LOSC,ESTACTroyes,1,0,2002,23,84,49
NîmesOlympique,StadeLavallois,3,0,2002,23,90,136
OlympiquedeMarseille,CSSedan,2,1,2002,23,94,40
ParisSaint-Germain,FCLorient,5,0,2002,23,101,59
SMCaen,FCGueugnon,2,2,2002,23,123,56
StadeRennaisFC,MontpellierHéraultSC,2,0,2002,23,138,88
USCréteil-Lusitanos,AmiensSC,1,1,2002,23,147,8
ACAjaccio,USCréteil-Lusitanos,1,0,2002,22,2,147
AmiensSC,Châteauroux,0,1,2002,22,8,32
ASSaint-Etienne,GF38,1,1,2002,22,24,73
CSSedan,FCNantes,0,0,2002,22,40,65
EAGuingamp,LOSC,0,0,2002,22,45,84
ESTACTroyes,ASMonaco,3,0,2002,22,49,20
ESWasquehal,LeMansFC,1,1,2002,22,50,80
FCGueugnon,ASNancyLorraine,1,0,2002,22,56,21
FCIstres,ChamoisNiortais,1,1,2002,22,57,31
FCLorient,StadeRennaisFC,2,0,2002,22,59,138
FCMartigues,SMCaen,2,1,2002,22,60,123
GirondinsdeBordeaux,FCSochaux-Montbéliard,0,1,2002,22,74,69
HavreAC,NîmesOlympique,3,0,2002,22,77,90
MontpellierHéraultSC,AJAuxerre,0,0,2002,22,88,6
OGCNice,ASBeauvais,0,1,2002,22,91,13
OlympiqueLyonnais,OlympiquedeMarseille,4,0,2002,22,96,94
RCLens,ParisSaint-Germain,1,1,2002,22,106,101
SCBastia,FCMetz,1,2,2002,22,118,61
StadeLavallois,RCStrasbourg,3,0,2002,22,136,111
AJAuxerre,GirondinsdeBordeaux,0,1,2002,21,6,74
ASBeauvais,FCMartigues,2,0,2002,21,13,60
ASMonaco,FCLorient,1,0,2002,21,20,59
ASNancyLorraine,HavreAC,1,1,2002,21,21,77
ChamoisNiortais,StadeLavallois,1,1,2002,21,31,136
Châteauroux,FCGueugnon,1,0,2002,21,32,56
FCMetz,CSSedan,2,3,2002,21,61,40
FCNantes,EAGuingamp,2,0,2002,21,65,45
FCSochaux-Montbéliard,MontpellierHéraultSC,0,1,2002,21,69,88
GF38,AmiensSC,4,0,2002,21,73,8
LeMansFC,ASSaint-Etienne,3,0,2002,21,80,24
LOSC,RCLens,0,1,2002,21,84,106
NîmesOlympique,OGCNice,0,3,2002,21,90,91
OlympiquedeMarseille,SCBastia,2,2,2002,21,94,118
OlympiqueLyonnais,ESTACTroyes,3,1,2002,21,96,49
RCStrasbourg,FCIstres,2,0,2002,21,111,57
SMCaen,ACAjaccio,1,1,2002,21,123,2
StadeRennaisFC,ParisSaint-Germain,1,2,2002,21,138,101
USCréteil-Lusitanos,ESWasquehal,2,0,2002,21,147,50
ACAjaccio,Châteauroux,0,1,2002,20,2,32
AmiensSC,ASNancyLorraine,1,1,2002,20,8,21
ASSaint-Etienne,USCréteil-Lusitanos,1,0,2002,20,24,147
CSSedan,AJAuxerre,3,3,2002,20,40,6
EAGuingamp,OlympiqueLyonnais,2,4,2002,20,45,96
ESTACTroyes,OlympiquedeMarseille,1,0,2002,20,49,94
ESWasquehal,SMCaen,2,0,2002,20,50,123
FCGueugnon,ASBeauvais,0,0,2002,20,56,13
FCIstres,StadeLavallois,2,2,2002,20,57,136
FCLorient,FCSochaux-Montbéliard,1,1,2002,20,59,69
FCMartigues,NîmesOlympique,2,0,2002,20,60,90
GirondinsdeBordeaux,StadeRennaisFC,2,1,2002,20,74,138
HavreAC,ChamoisNiortais,2,0,2002,20,77,31
LeMansFC,GF38,2,0,2002,20,80,73
MontpellierHéraultSC,LOSC,2,0,2002,20,88,84
OGCNice,RCStrasbourg,2,1,2002,20,91,111
ParisSaint-Germain,ASMonaco,1,2,2002,20,101,20
RCLens,FCMetz,2,2,2002,20,106,61
SCBastia,FCNantes,0,2,2002,20,118,65
AJAuxerre,ParisSaint-Germain,1,1,2002,2,6,101
ASBeauvais,FCGueugnon,0,1,2002,2,13,56
ASMonaco,MontpellierHéraultSC,0,0,2002,2,20,88
ASNancyLorraine,AmiensSC,1,1,2002,2,21,8
ChamoisNiortais,HavreAC,2,2,2002,2,31,77
Châteauroux,ACAjaccio,0,2,2002,2,32,2
EAGuingamp,SCBastia,1,0,2002,2,45,118
FCMetz,ESTACTroyes,2,1,2002,2,61,49
FCNantes,RCLens,1,2,2002,2,65,106
FCSochaux-Montbéliard,StadeRennaisFC,4,3,2002,2,69,138
GF38,LeMansFC,1,1,2002,2,73,80
LOSC,FCLorient,3,1,2002,2,84,59
NîmesOlympique,FCMartigues,0,0,2002,2,90,60
OlympiquedeMarseille,GirondinsdeBordeaux,0,0,2002,2,94,74
OlympiqueLyonnais,CSSedan,2,0,2002,2,96,40
RCStrasbourg,OGCNice,3,0,2002,2,111,91
SMCaen,ESWasquehal,1,0,2002,2,123,50
StadeLavallois,FCIstres,2,0,2002,2,136,57
USCréteil-Lusitanos,ASSaint-Etienne,1,1,2002,2,147,24
AJAuxerre,FCLorient,2,2,2002,19,6,59
ASBeauvais,ACAjaccio,0,0,2002,19,13,2
ASMonaco,StadeRennaisFC,3,1,2002,19,20,138
ASNancyLorraine,ESWasquehal,0,1,2002,19,21,50
ChamoisNiortais,FCGueugnon,1,1,2002,19,31,56
Châteauroux,ASSaint-Etienne,4,0,2002,19,32,24
EAGuingamp,CSSedan,1,2,2002,19,45,40
FCIstres,OGCNice,0,1,2002,19,57,91
FCMetz,MontpellierHéraultSC,0,0,2002,19,61,88
FCNantes,ESTACTroyes,1,0,2002,19,65,49
FCSochaux-Montbéliard,ParisSaint-Germain,0,2,2002,19,69,101
LOSC,GirondinsdeBordeaux,2,2,2002,19,84,74
NîmesOlympique,AmiensSC,1,1,2002,19,90,8
OlympiquedeMarseille,RCLens,1,2,2002,19,94,106
OlympiqueLyonnais,SCBastia,0,0,2002,19,96,118
RCStrasbourg,FCMartigues,1,0,2002,19,111,60
SMCaen,LeMansFC,2,0,2002,19,123,80
StadeLavallois,HavreAC,1,1,2002,19,136,77
USCréteil-Lusitanos,GF38,1,1,2002,19,147,73
ACAjaccio,NîmesOlympique,3,1,2002,18,2,90
AmiensSC,ChamoisNiortais,0,2,2002,18,8,31
ASSaint-Etienne,ASNancyLorraine,1,3,2002,18,24,21
CSSedan,OlympiqueLyonnais,2,1,2002,18,40,96
ESTACTroyes,FCMetz,2,0,2002,18,49,61
ESWasquehal,ASBeauvais,3,2,2002,18,50,13
FCGueugnon,RCStrasbourg,0,0,2002,18,56,111
FCLorient,LOSC,2,4,2002,18,59,84
FCMartigues,OGCNice,3,3,2002,18,60,91
GF38,StadeLavallois,3,0,2002,18,73,136
GirondinsdeBordeaux,OlympiquedeMarseille,0,0,2002,18,74,94
HavreAC,FCIstres,2,0,2002,18,77,57
LeMansFC,Châteauroux,1,0,2002,18,80,32
MontpellierHéraultSC,ASMonaco,1,1,2002,18,88,20
ParisSaint-Germain,AJAuxerre,0,0,2002,18,101,6
RCLens,FCNantes,3,0,2002,18,106,65
SCBastia,EAGuingamp,3,0,2002,18,118,45
StadeRennaisFC,FCSochaux-Montbéliard,1,1,2002,18,138,69
USCréteil-Lusitanos,SMCaen,4,2,2002,18,147,123
AJAuxerre,ASMonaco,2,0,2002,17,6,20
ASBeauvais,USCréteil-Lusitanos,2,0,2002,17,13,147
ASNancyLorraine,LeMansFC,0,1,2002,17,21,80
ChamoisNiortais,ACAjaccio,0,0,2002,17,31,2
Châteauroux,GF38,0,0,2002,17,32,73
CSSedan,StadeRennaisFC,0,0,2002,17,40,138
EAGuingamp,RCLens,1,0,2002,17,45,106
FCIstres,FCMartigues,0,0,2002,17,57,60
FCMetz,ParisSaint-Germain,0,2,2002,17,61,101
FCNantes,MontpellierHéraultSC,1,2,2002,17,65,88
LOSC,FCSochaux-Montbéliard,1,2,2002,17,84,69
NîmesOlympique,ESWasquehal,2,3,2002,17,90,50
OGCNice,HavreAC,0,1,2002,17,91,77
OlympiquedeMarseille,FCLorient,3,2,2002,17,94,59
OlympiqueLyonnais,GirondinsdeBordeaux,1,0,2002,17,96,74
RCStrasbourg,AmiensSC,1,0,2002,17,111,8
SCBastia,ESTACTroyes,2,0,2002,17,118,49
SMCaen,ASSaint-Etienne,2,4,2002,17,123,24
StadeLavallois,FCGueugnon,0,1,2002,17,136,56
ACAjaccio,HavreAC,3,0,2002,16,2,77
AmiensSC,OGCNice,2,0,2002,16,8,91
ASMonaco,LOSC,2,2,2002,16,20,84
ASSaint-Etienne,NîmesOlympique,1,0,2002,16,24,90
ESTACTroyes,CSSedan,1,1,2002,16,49,40
ESWasquehal,ChamoisNiortais,2,3,2002,16,50,31
